"","HP01_T","HP02_T","HP03_T","HP04_T","HP05_T","HP01_N","HP03_N","HP04_N","HP05_N"
"hsa-miR-3928-5p",0,0,20,20,12,0,79,14,16
"hsa-miR-3929",0,0,0,0,0,0,0,0,0
"hsa-miR-3934-3p",0,0,0,0,0,0,23,0,14
"hsa-miR-3934-5p",11,25,72,13,34,13,18,13,17
"hsa-miR-3935",0,0,0,0,0,0,18,0,0
"hsa-miR-3936",0,0,0,0,0,0,0,0,0
"hsa-miR-3937",0,0,0,0,0,0,19,0,0
"hsa-miR-3938",0,0,0,0,0,0,0,0,0
"hsa-miR-3939",0,0,0,0,0,0,25,0,0
"hsa-miR-3940-3p",15,0,0,16,0,0,21,0,0
"hsa-miR-3940-5p",0,0,0,0,0,0,41,0,0
"hsa-miR-3941",0,0,0,0,0,0,13,0,0
"hsa-miR-3942-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3942-5p",0,0,0,0,0,0,10,0,0
"hsa-miR-3943",55,108,0,109,31,0,13,68,182
"hsa-miR-3944-3p",0,0,10,0,0,0,15,0,0
"hsa-miR-3944-5p",0,0,0,0,0,0,10,0,0
"hsa-miR-3945",0,0,0,0,0,0,16,0,0
"hsa-miR-3960",26,11,32,47,17,16,2200,28,36
"hsa-miR-3972",0,0,0,0,0,0,17,0,0
"hsa-miR-3973",0,0,0,0,0,0,0,0,0
"hsa-miR-3974",14,17,0,11,0,0,0,0,0
"hsa-miR-3975",0,0,0,0,0,0,0,0,0
"hsa-miR-3976",0,0,0,0,0,0,17,0,0
"hsa-miR-3977",0,0,0,0,0,0,0,0,0
"hsa-miR-3978",0,0,0,0,0,0,10,0,0
"hsa-miR-409-3p",1569,2904,152,146,779,1579,52,2305,3166
"hsa-miR-409-5p",163,274,0,15,65,70,0,77,141
"hsa-miR-410-3p",0,15,0,0,0,0,0,0,0
"hsa-miR-410-5p",0,0,0,0,0,0,0,0,10
"hsa-miR-411-3p",0,10,0,0,0,0,0,0,0
"hsa-miR-411-5p",1465,2012,91,64,241,1526,103,622,1053
"hsa-miR-412-3p",0,0,0,0,0,0,11,0,0
"hsa-miR-412-5p",0,30,0,0,0,0,0,0,10
"hsa-miR-421",184,345,227,496,193,148,51,70,135
"hsa-miR-422a",0,12,0,43,0,12,0,16,11
"hsa-miR-423-3p",6590,8016,2136,5754,2356,2995,832,3285,2682
"hsa-miR-423-5p",3804,2892,2111,4141,3301,2400,601,1936,1718
"hsa-miR-424-3p",63,51,15,74,0,38,0,42,18
"hsa-miR-424-5p",566,1014,105,972,120,332,32,292,255
"hsa-miR-425-3p",585,795,607,979,335,280,107,441,539
"hsa-miR-425-5p",4871,6480,7561,7750,3295,2300,1261,2497,3329
"hsa-miR-4251",0,0,0,0,0,0,0,0,0
"hsa-miR-4252",0,0,0,0,0,0,0,0,0
"hsa-miR-4253",0,0,0,0,0,0,0,0,0
"hsa-miR-4254",0,0,0,15,0,0,25,0,14
"hsa-miR-4255",0,0,0,13,14,0,13,0,13
"hsa-miR-4256",0,0,0,0,0,0,0,0,0
"hsa-miR-4257",0,0,0,10,0,0,41,0,10
"hsa-miR-4258",0,0,0,0,0,0,21,0,0
"hsa-miR-4259",0,0,0,12,0,0,14,0,0
"hsa-miR-4260",0,0,0,0,0,0,0,0,0
"hsa-miR-4261",0,0,0,0,0,0,15,0,0
"hsa-miR-4262",0,0,0,13,0,0,0,0,14
"hsa-miR-4263",0,0,0,0,0,0,0,0,0
"hsa-miR-4264",0,0,0,0,0,0,0,0,0
"hsa-miR-4265",0,0,0,12,0,0,492,0,0
"hsa-miR-4266",0,0,0,0,0,0,0,0,0
"hsa-miR-4267",0,0,0,0,0,0,0,0,0
"hsa-miR-4268",10,0,0,0,10,0,186,0,0
"hsa-miR-4269",0,0,12,17,0,0,26,10,0
"hsa-miR-4270",0,0,0,11,0,0,20,0,0
"hsa-miR-4271",0,0,0,19,0,0,0,11,0
"hsa-miR-4272",0,0,0,0,0,0,0,0,0
"hsa-miR-4273",0,0,0,12,0,0,0,0,0
"hsa-miR-4274",0,0,0,0,0,0,30,0,0
"hsa-miR-4275",0,0,0,0,0,0,0,0,0
"hsa-miR-4276",0,0,0,0,0,0,0,0,0
"hsa-miR-4277",0,0,0,10,0,0,12,0,0
"hsa-miR-4278",0,0,0,0,0,0,0,0,0
"hsa-miR-4279",0,0,0,11,0,0,26,0,0
"hsa-miR-4280",0,0,0,0,0,0,26,0,0
"hsa-miR-4281",0,0,0,0,0,0,46,0,0
"hsa-miR-4282",0,0,0,0,0,0,0,0,0
"hsa-miR-4283",0,0,0,0,0,0,0,0,0
"hsa-miR-4284",0,0,0,11,0,0,0,0,0
"hsa-miR-4285",0,0,0,0,0,0,551,0,0
"hsa-miR-4286",185,195,81,420,57,111,39,79,102
"hsa-miR-4287",0,0,0,0,0,0,0,0,0
"hsa-miR-4288",0,0,0,0,0,0,16,0,10
"hsa-miR-4289",0,0,0,0,0,0,0,0,0
"hsa-miR-429",3373,8237,3347,158,6949,3715,1855,3733,5519
"hsa-miR-4290",13,0,0,27,0,0,44,13,29
"hsa-miR-4291",0,0,0,0,0,0,11,0,0
"hsa-miR-4292",0,0,0,0,0,0,17,0,0
"hsa-miR-4293",0,0,0,10,0,0,23,0,0
"hsa-miR-4294",0,0,0,0,0,0,0,0,0
"hsa-miR-4295",0,0,0,11,0,0,11,0,12
"hsa-miR-4296",0,0,0,0,0,0,11,0,0
"hsa-miR-4297",11,24,0,25,0,0,50,16,10
"hsa-miR-4298",0,10,0,13,0,11,29,0,0
"hsa-miR-4299",0,0,0,0,0,0,0,0,0
"hsa-miR-4300",0,0,0,0,0,0,19,0,0
"hsa-miR-4301",104,65,45,71,11,10,727,12,14
"hsa-miR-4302",11,0,0,0,0,0,22,0,0
"hsa-miR-4303",0,0,0,0,0,0,16,0,0
"hsa-miR-4304",184,54,60,198,21,58,19,48,45
"hsa-miR-4305",0,0,0,0,0,0,0,0,0
"hsa-miR-4306",0,0,0,0,13,0,0,0,15
"hsa-miR-4307",0,0,0,22,0,0,10,0,10
"hsa-miR-4308",0,0,0,18,0,0,12,0,0
"hsa-miR-4309",0,0,0,0,0,0,17,0,0
"hsa-miR-431-3p",25,19,0,0,10,21,0,10,24
"hsa-miR-431-5p",230,382,17,38,86,180,0,66,117
"hsa-miR-4310",0,0,0,0,0,0,0,0,0
"hsa-miR-4311",0,0,0,0,0,0,18,0,0
"hsa-miR-4312",0,0,12,16,0,0,29,11,16
"hsa-miR-4313",0,0,0,11,0,0,16,0,0
"hsa-miR-4314",0,0,0,0,0,0,15,11,0
"hsa-miR-4315",0,0,0,0,0,0,11,0,0
"hsa-miR-4316",0,0,0,0,0,0,0,0,0
"hsa-miR-4317",17,26,0,17,13,0,0,0,0
"hsa-miR-4318",0,0,0,0,0,0,0,0,0
"hsa-miR-4319",0,0,0,0,0,0,16,0,0
"hsa-miR-432-3p",0,0,0,0,0,0,12,0,0
"hsa-miR-432-5p",1615,1093,80,300,553,1341,61,1164,1887
"hsa-miR-4320",0,0,0,0,0,0,0,0,0
"hsa-miR-4321",0,0,15,21,17,0,298,15,10
"hsa-miR-4322",51,76,35,46,52,276,1521,1073,497
"hsa-miR-4323",0,0,11,0,0,0,26,0,0
"hsa-miR-4324",431,411,101,669,151,99,21,149,227
"hsa-miR-4325",0,0,0,0,0,0,0,0,0
"hsa-miR-4326",15,47,33,23,35,30,31,10,32
"hsa-miR-4327",0,10,11,10,0,0,30,14,10
"hsa-miR-4328",47,56,0,57,37,19,15,30,59
"hsa-miR-4329",0,0,0,0,0,0,0,0,0
"hsa-miR-433-3p",14,13,0,0,13,19,54,10,11
"hsa-miR-433-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4330",0,0,0,0,0,0,18,0,0
"hsa-miR-4417",0,0,24,17,11,10,46,0,0
"hsa-miR-4418",0,0,0,11,0,0,0,0,0
"hsa-miR-4419a",0,0,0,11,0,0,20,0,0
"hsa-miR-4419b",0,0,0,16,0,0,275,11,21
"hsa-miR-4420",0,0,0,0,0,0,0,0,0
"hsa-miR-4421",0,0,0,37,0,0,13,0,10
"hsa-miR-4422",0,0,0,0,0,0,12,0,0
"hsa-miR-4423-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4423-5p",0,11,0,24,0,0,10,0,0
"hsa-miR-4424",0,0,0,0,0,0,0,0,0
"hsa-miR-4425",0,0,0,0,0,0,10,0,0
"hsa-miR-4426",0,0,0,0,0,0,0,0,0
"hsa-miR-4427",0,0,0,0,0,0,0,0,0
"hsa-miR-4428",0,0,0,0,0,0,29,0,0
"hsa-miR-4429",16,21,18,23,13,17,43,28,16
"hsa-miR-4430",10,0,0,21,0,0,75,16,11
"hsa-miR-4431",0,0,0,0,0,0,0,0,0
"hsa-miR-4432",0,0,0,0,0,0,11,0,0
"hsa-miR-4433a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4433a-5p",0,0,0,14,0,0,41,0,0
"hsa-miR-4433b-3p",0,0,0,0,0,0,11,0,0
"hsa-miR-4433b-5p",0,0,12,16,0,0,14,0,0
"hsa-miR-4434",0,0,0,11,0,0,0,0,0
"hsa-miR-4435",0,0,0,16,0,0,21,0,11
"hsa-miR-4436a",0,0,0,0,0,0,10,0,0
"hsa-miR-4436b-3p",0,0,0,12,0,0,14,0,0
"hsa-miR-4436b-5p",0,0,0,10,0,0,16,0,0
"hsa-miR-4437",0,0,0,0,0,0,0,0,0
"hsa-miR-4438",0,0,0,14,0,0,13,0,0
"hsa-miR-4439",0,0,0,0,0,0,0,0,0
"hsa-miR-4440",13,12,0,11,0,0,31,0,0
"hsa-miR-4441",0,0,0,0,0,0,30,0,0
"hsa-miR-4442",0,0,0,17,0,0,0,0,0
"hsa-miR-4443",36,62,28,21,12,52,10,59,22
"hsa-miR-4444",0,0,0,10,0,0,15,0,0
"hsa-miR-4445-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4445-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4446-3p",0,0,0,10,12,0,18,0,0
"hsa-miR-4446-5p",0,0,0,0,0,0,17,0,12
"hsa-miR-4447",0,0,0,0,0,0,0,0,0
"hsa-miR-4448",0,0,0,0,0,0,12,0,0
"hsa-miR-4449",0,0,0,0,0,0,46,0,13
"hsa-miR-4450",0,0,0,0,0,0,22,0,10
"hsa-miR-4451",0,0,0,0,0,0,0,0,0
"hsa-miR-4452",0,0,0,0,0,0,21,0,0
"hsa-miR-4453",0,0,0,0,0,0,18,0,0
"hsa-miR-4454",225,770,51,295,91,41,31,195,195
"hsa-miR-4455",0,0,0,0,0,0,0,0,0
"hsa-miR-4456",0,0,0,10,0,0,0,0,0
"hsa-miR-4457",0,0,0,0,0,0,0,0,0
"hsa-miR-4458",0,0,21,15,0,0,14,13,13
"hsa-miR-4459",14,0,0,15,0,0,36,0,0
"hsa-miR-4460",0,0,0,0,0,0,10,0,0
"hsa-miR-4461",0,0,0,27,0,0,0,0,0
"hsa-miR-4462",0,0,0,0,0,0,11,0,0
"hsa-miR-4463",0,0,0,12,0,0,51,0,0
"hsa-miR-4464",0,0,0,0,0,0,0,0,0
"hsa-miR-4465",0,0,0,0,0,0,17,0,0
"hsa-miR-4466",0,0,0,0,0,0,89,0,0
"hsa-miR-4467",0,0,0,0,0,0,0,0,0
"hsa-miR-4468",0,0,0,16,0,0,16,12,0
"hsa-miR-4469",0,0,0,10,0,0,13,0,0
"hsa-miR-4470",11,0,0,0,0,0,14,0,0
"hsa-miR-4471",0,0,0,13,0,0,0,0,0
"hsa-miR-4472",0,43,0,23,0,17,11,10,22
"hsa-miR-4473",0,0,0,12,0,0,0,0,0
"hsa-miR-4474-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4474-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4475",0,0,0,0,0,0,0,0,0
"hsa-miR-4476",0,0,0,0,0,0,22,0,0
"hsa-miR-4477a",0,0,0,0,0,0,10,0,0
"hsa-miR-4477b",0,0,0,0,0,0,0,0,12
"hsa-miR-4478",0,0,0,11,0,0,24,0,13
"hsa-miR-4479",0,0,16,18,0,0,62,11,10
"hsa-miR-448",0,0,0,0,0,0,0,0,0
"hsa-miR-4480",0,0,0,20,0,0,0,0,10
"hsa-miR-4481",0,0,0,0,0,0,13,0,0
"hsa-miR-4482-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4482-5p",0,0,0,0,0,0,14,0,0
"hsa-miR-4483",0,0,0,0,0,0,11,0,0
"hsa-miR-4484",20,83,43,150,38,38,15,65,148
"hsa-miR-4485-3p",0,0,0,36,12,0,17,0,17
"hsa-miR-4485-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4486",0,0,0,0,0,0,17,0,0
"hsa-miR-4487",0,0,0,13,0,0,16,0,0
"hsa-miR-4488",14,0,44,0,13,10,674,35,17
"hsa-miR-4489",0,0,0,11,0,0,0,0,0
"hsa-miR-4490",0,0,0,0,0,0,0,0,0
"hsa-miR-4491",0,0,0,0,0,0,13,0,0
"hsa-miR-4492",10,0,19,12,0,0,163,22,0
"hsa-miR-4493",0,0,0,12,0,0,16,12,12
"hsa-miR-4494",0,0,0,0,0,0,14,0,0
"hsa-miR-4495",0,0,0,0,0,0,0,0,0
"hsa-miR-4496",0,0,0,17,13,0,13,0,17
"hsa-miR-4497",0,0,20,0,0,0,17,0,0
"hsa-miR-4498",0,0,0,0,0,0,0,0,0
"hsa-miR-4499",0,0,0,17,0,0,24,15,0
"hsa-miR-449a",0,63,0,14,0,13,0,0,15
"hsa-miR-449b-3p",0,0,0,0,0,0,13,0,0
"hsa-miR-449b-5p",0,19,0,0,0,0,10,0,0
"hsa-miR-449c-3p",0,0,16,31,0,10,16,0,0
"hsa-miR-449c-5p",0,25,0,24,0,11,0,15,14
"hsa-miR-4500",0,13,0,13,0,0,0,0,0
"hsa-miR-4501",0,0,0,21,20,0,18,0,0
"hsa-miR-4502",0,0,0,0,0,0,12,0,0
"hsa-miR-4503",0,0,0,13,0,0,0,0,0
"hsa-miR-4504",0,0,0,0,0,0,22,0,0
"hsa-miR-4505",0,0,0,0,0,0,28,0,0
"hsa-miR-4506",0,0,0,0,0,0,13,0,0
"hsa-miR-4507",0,0,0,0,0,0,10,0,0
"hsa-miR-4508",22,19,18,0,10,23,114,35,12
"hsa-miR-4509",0,0,0,0,0,0,0,0,0
"hsa-miR-450a-1-3p",25,33,11,51,0,0,0,19,13
"hsa-miR-450a-2-3p",10,16,0,21,0,10,0,12,0
"hsa-miR-450a-5p",20,26,0,33,0,0,0,10,16
"hsa-miR-450b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-450b-5p",408,451,91,677,93,130,26,132,143
"hsa-miR-4510",298,373,86,281,192,210,33,229,229
"hsa-miR-4511",0,0,0,0,0,0,0,0,0
"hsa-miR-4512",0,0,0,0,0,0,18,0,0
"hsa-miR-4513",0,0,0,0,0,0,16,0,0
"hsa-miR-4514",0,0,0,10,0,0,12,0,0
"hsa-miR-4515",28,10,22,33,0,16,79,15,15
"hsa-miR-4516",11,0,32,30,10,10,2450,21,14
"hsa-miR-4517",0,0,0,10,0,0,13,0,0
"hsa-miR-4518",0,0,0,0,0,0,0,0,0
"hsa-miR-4519",11,0,13,14,0,0,16,0,0
"hsa-miR-451a",463,1444,323,7475,224,348,7160,2893,968
"hsa-miR-451b",0,0,0,16,0,0,18,11,10
"hsa-miR-452-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-452-5p",632,804,1275,417,370,291,81,430,569
"hsa-miR-4520-2-3p",0,10,0,0,0,0,0,0,0
"hsa-miR-4520-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4520-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4521",0,29,0,13,0,0,17,0,0
"hsa-miR-4522",0,0,0,0,0,0,0,0,0
"hsa-miR-4523",0,0,0,0,0,0,25,0,0
"hsa-miR-4524a-3p",0,13,0,0,0,0,0,0,0
"hsa-miR-4524a-5p",0,0,0,0,0,0,15,0,0
"hsa-miR-4524b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4524b-5p",0,0,0,11,0,0,0,0,0
"hsa-miR-4525",0,0,0,0,0,0,0,0,0
"hsa-miR-4526",0,0,0,0,0,0,10,0,0
"hsa-miR-4527",0,0,0,10,0,0,0,0,0
"hsa-miR-4528",0,0,0,0,0,0,0,0,0
"hsa-miR-4529-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4529-5p",0,0,0,0,0,0,17,0,10
"hsa-miR-4530",0,10,0,0,0,0,38,0,0
"hsa-miR-4531",0,0,0,0,10,0,11,0,0
"hsa-miR-4532",88,98,57,15,111,119,1090,747,244
"hsa-miR-4533",0,0,0,10,0,0,44,0,0
"hsa-miR-4534",0,0,0,0,0,0,24,0,0
"hsa-miR-4535",0,0,0,15,11,0,14,10,0
"hsa-miR-4536-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4536-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4537",0,0,0,0,0,0,0,0,0
"hsa-miR-4538",0,0,0,11,11,0,235,11,10
"hsa-miR-4539",0,0,0,0,0,0,12,0,0
"hsa-miR-454-3p",1658,3190,2319,4757,892,1664,516,755,1323
"hsa-miR-454-5p",36,44,56,97,18,18,17,0,20
"hsa-miR-4540",0,0,0,0,0,0,11,0,0
"hsa-miR-455-3p",129,438,35,737,66,185,16,100,199
"hsa-miR-455-5p",625,3106,289,4072,335,787,140,1140,1628
"hsa-miR-4632-3p",0,0,0,17,13,0,0,0,0
"hsa-miR-4632-5p",0,0,68,22,23,22,804,18,36
"hsa-miR-4633-3p",0,0,0,0,0,0,53,0,0
"hsa-miR-4633-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4634",13,15,10,0,13,13,70,57,26
"hsa-miR-4635",0,0,0,15,0,0,0,0,0
"hsa-miR-4636",0,19,0,29,0,0,10,0,0
"hsa-miR-4637",0,0,0,0,0,0,0,0,0
"hsa-miR-4638-3p",0,11,10,17,0,0,64,16,10
"hsa-miR-4638-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4639-3p",0,0,0,0,0,0,0,0,10
"hsa-miR-4639-5p",0,0,0,19,0,12,21,0,0
"hsa-miR-4640-3p",0,0,0,0,0,0,12,0,0
"hsa-miR-4640-5p",0,0,0,10,0,0,20,0,0
"hsa-miR-4641",0,0,0,0,0,0,0,0,0
"hsa-miR-4642",0,0,0,0,0,0,26,0,0
"hsa-miR-4643",0,0,0,0,0,0,0,0,0
"hsa-miR-4644",0,0,16,30,0,11,18,0,26
"hsa-miR-4645-3p",10,30,30,21,0,0,11,0,16
"hsa-miR-4645-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4646-3p",0,11,0,16,0,0,20,0,0
"hsa-miR-4646-5p",0,0,0,0,0,0,32,0,10
"hsa-miR-4647",0,0,0,20,0,0,20,0,17
"hsa-miR-4648",0,0,0,0,0,0,0,0,0
"hsa-miR-4649-3p",0,18,0,0,0,0,15,0,0
"hsa-miR-4649-5p",0,0,0,0,0,0,109,12,11
"hsa-miR-4650-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4650-5p",0,0,0,17,0,0,50,0,20
"hsa-miR-4651",0,0,0,0,0,0,22,0,0
"hsa-miR-4652-3p",0,0,0,15,0,0,0,0,14
"hsa-miR-4652-5p",0,10,0,12,0,0,10,0,15
"hsa-miR-4653-3p",0,0,0,13,0,0,19,0,0
"hsa-miR-4653-5p",0,0,0,0,0,0,0,0,12
"hsa-miR-4654",0,0,0,15,0,0,24,0,10
"hsa-miR-4655-3p",0,0,0,0,0,0,46,0,0
"hsa-miR-4655-5p",0,0,0,0,0,0,24,0,0
"hsa-miR-4656",0,0,0,0,0,0,15,12,0
"hsa-miR-4657",0,0,0,0,0,0,0,0,12
"hsa-miR-4658",0,0,0,11,0,0,11,0,0
"hsa-miR-4659a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4659a-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4659b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4659b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-466",0,0,0,16,17,0,89,0,11
"hsa-miR-4660",13,10,14,16,10,12,37,10,20
"hsa-miR-4661-5p",22,26,13,64,21,12,22,21,22
"hsa-miR-4662a-3p",0,0,0,11,0,0,0,0,0
"hsa-miR-4662a-5p",18,46,66,113,13,25,16,20,31
"hsa-miR-4663",0,0,0,0,0,0,13,0,0
"hsa-miR-4664-3p",0,0,0,18,11,0,48,0,0
"hsa-miR-4664-5p",17,29,15,50,0,0,10,19,16
"hsa-miR-4665-3p",0,0,0,0,0,0,86,0,0
"hsa-miR-4665-5p",0,0,0,11,0,0,50,0,0
"hsa-miR-4666a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4666a-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4666b",0,0,0,0,0,0,0,0,11
"hsa-miR-4667-3p",0,0,0,15,0,10,20,0,0
"hsa-miR-4667-5p",0,0,0,17,0,0,12,0,0
"hsa-miR-4668-3p",0,0,0,12,0,0,0,0,0
"hsa-miR-4668-5p",17,35,0,40,14,11,23,33,36
"hsa-miR-4669",0,0,0,0,0,0,11,0,12
"hsa-miR-4670-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4670-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4671-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4671-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4672",0,0,0,0,0,0,18,0,0
"hsa-miR-4673",0,0,0,15,20,0,15,0,0
"hsa-miR-4674",18,0,0,12,0,0,53,12,0
"hsa-miR-4675",0,0,0,0,0,0,0,0,0
"hsa-miR-4676-3p",0,0,0,10,0,0,0,0,0
"hsa-miR-4676-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4677-3p",41,51,53,114,46,35,21,34,65
"hsa-miR-4677-5p",12,18,19,16,13,18,14,14,10
"hsa-miR-4678",0,0,0,0,0,0,0,0,0
"hsa-miR-4679",0,11,0,84,0,0,11,43,42
"hsa-miR-4680-3p",0,0,0,0,0,0,10,0,0
"hsa-miR-4680-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4681",0,0,0,0,0,0,0,0,0
"hsa-miR-4682",0,0,0,0,0,0,23,0,0
"hsa-miR-4683",0,0,0,11,0,0,10,0,0
"hsa-miR-4684-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4684-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4685-3p",14,10,0,13,0,10,28,11,0
"hsa-miR-4685-5p",0,0,0,11,0,0,18,0,13
"hsa-miR-4686",0,0,0,12,0,0,16,0,0
"hsa-miR-4687-3p",0,0,0,12,0,0,26,0,10
"hsa-miR-4687-5p",0,0,11,0,0,0,22,0,0
"hsa-miR-4688",10,0,0,0,0,0,25,10,0
"hsa-miR-4689",0,0,0,0,0,0,27,0,0
"hsa-miR-4690-3p",0,0,0,0,0,0,15,12,11
"hsa-miR-4690-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4691-3p",0,0,0,0,0,0,13,0,0
"hsa-miR-4691-5p",0,0,0,0,0,0,15,0,0
"hsa-miR-4692",0,0,0,0,0,0,0,0,0
"hsa-miR-4693-3p",0,0,0,0,0,0,11,0,0
"hsa-miR-4693-5p",0,0,0,0,0,0,12,0,0
"hsa-miR-4694-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4694-5p",0,0,0,22,0,0,0,0,13
"hsa-miR-4695-3p",0,0,0,11,0,0,18,14,0
"hsa-miR-4695-5p",0,0,0,10,0,0,19,0,0
"hsa-miR-4696",0,0,0,0,0,0,0,0,0
"hsa-miR-4697-3p",0,0,0,0,0,0,16,0,0
"hsa-miR-4697-5p",0,0,0,0,0,0,15,0,0
"hsa-miR-4698",0,0,0,16,0,0,20,0,10
"hsa-miR-4699-3p",14,0,0,0,0,0,0,0,13
"hsa-miR-4699-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4700-3p",0,0,0,10,0,0,27,0,0
"hsa-miR-4700-5p",0,0,0,12,0,0,38,0,10
"hsa-miR-4701-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4701-5p",0,0,0,0,0,10,13,11,0
"hsa-miR-4703-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4703-5p",28,64,17,164,55,19,13,83,171
"hsa-miR-4704-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4704-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4705",0,0,0,0,0,0,0,0,13
"hsa-miR-4706",0,0,0,13,0,17,15,0,0
"hsa-miR-4707-3p",0,0,0,0,0,0,20,10,0
"hsa-miR-4707-5p",0,0,0,11,0,0,1004,15,0
"hsa-miR-4708-3p",0,0,0,0,0,0,13,0,0
"hsa-miR-4709-3p",0,0,0,20,0,0,0,0,0
"hsa-miR-4709-5p",0,0,0,17,0,0,12,0,0
"hsa-miR-4710",0,0,0,0,0,0,0,0,0
"hsa-miR-4711-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4711-5p",0,0,0,11,0,0,15,0,0
"hsa-miR-4712-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4712-5p",0,0,0,16,0,0,12,0,0
"hsa-miR-4713-3p",11,0,0,28,0,0,15,0,0
"hsa-miR-4713-5p",0,0,0,18,10,0,14,0,0
"hsa-miR-4714-3p",0,0,0,0,18,0,18,0,26
"hsa-miR-4714-5p",0,0,0,12,0,0,10,0,0
"hsa-miR-4715-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4715-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4716-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4716-5p",10,0,0,30,0,10,20,0,13
"hsa-miR-4717-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4717-5p",0,0,0,0,0,0,17,0,0
"hsa-miR-4718",0,0,0,0,0,0,10,0,0
"hsa-miR-4719",0,0,0,0,0,0,0,0,0
"hsa-miR-4720-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4720-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4721",15,11,0,20,0,0,17,15,17
"hsa-miR-4722-3p",0,0,0,0,0,0,10,0,0
"hsa-miR-4722-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4723-3p",0,0,0,0,0,0,14,0,0
"hsa-miR-4723-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4724-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4724-5p",0,0,0,0,0,0,15,0,0
"hsa-miR-4725-3p",0,0,11,10,0,0,10,0,11
"hsa-miR-4725-5p",0,0,0,0,0,10,19,0,0
"hsa-miR-4726-3p",11,0,13,10,0,0,22,0,0
"hsa-miR-4726-5p",12,0,0,20,0,0,25,0,10
"hsa-miR-4727-3p",0,0,0,0,0,0,13,0,0
"hsa-miR-4727-5p",0,0,0,13,0,0,16,0,0
"hsa-miR-4728-3p",0,0,0,0,0,0,18,0,0
"hsa-miR-4728-5p",0,0,0,0,0,0,18,0,0
"hsa-miR-4729",22,109,58,113,16,50,25,104,129
"hsa-miR-4730",0,0,0,0,0,0,14,0,0
"hsa-miR-4731-3p",0,0,0,0,0,0,15,0,0
"hsa-miR-4731-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4732-3p",0,0,0,10,0,0,32,0,10
"hsa-miR-4732-5p",28,17,14,42,0,12,27,15,10
"hsa-miR-4733-3p",0,0,0,0,0,0,11,0,0
"hsa-miR-4733-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-4734",0,0,0,12,0,0,44,0,11
"hsa-miR-4735-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-4735-5p",0,0,0,0,0,0,0,0,0
